code,dt
SH600000,2017-12-07
SH600009,2017-12-07
SH600010,2017-12-07
SH600015,2017-12-07
SH600016,2017-12-07
SH600018,2017-12-07
SH600019,2017-12-07
SH600021,2017-12-07
SH600023,2017-12-07
SH600028,2017-12-07
SH600029,2017-12-07
SH600030,2017-12-07
SH600031,2017-12-07
SH600036,2017-12-07
SH600038,2017-12-07
SH600048,2017-12-07
SH600050,2017-12-07
SH600061,2017-12-07
SH600066,2017-12-07
SH600085,2017-12-07
SH600089,2017-12-07
SH600100,2017-12-07
SH600104,2017-12-07
SH600109,2017-12-07
SH600111,2017-12-07
SH600115,2017-12-07
SH600118,2017-12-07
SH600153,2017-12-07
SH600170,2017-12-07
SH600177,2017-12-07
SH600188,2017-12-07
SH600196,2017-12-07
SH600208,2017-12-07
SH600221,2017-12-07
SH600233,2017-12-07
SH600271,2017-12-07
SH600276,2017-12-07
SH600297,2017-12-07
SH600340,2017-12-07
SH600352,2017-12-07
SH600362,2017-12-07
SH600369,2017-12-07
SH600372,2017-12-07
SH600373,2017-12-07
SH600376,2017-12-07
SH600406,2017-12-07
SH600415,2017-12-07
SH600436,2017-12-07
SH600482,2017-12-07
SH600489,2017-12-07
SH600498,2017-12-07
SH600515,2017-12-07
SH600518,2017-12-07
SH600519,2017-12-07
SH600522,2017-12-07
SH600535,2017-12-07
SH600547,2017-12-07
SH600549,2017-12-07
SH600570,2017-12-07
SH600583,2017-12-07
SH600585,2017-12-07
SH600588,2017-12-07
SH600606,2017-12-07
SH600637,2017-12-07
SH600649,2017-12-07
SH600660,2017-12-07
SH600663,2017-12-07
SH600674,2017-12-07
SH600688,2017-12-07
SH600690,2017-12-07
SH600703,2017-12-07
SH600704,2017-12-07
SH600705,2017-12-07
SH600732,2017-12-07
SH600739,2017-12-07
SH600741,2017-12-07
SH600754,2017-12-07
SH600795,2017-12-07
SH600804,2017-12-07
SH600816,2017-12-07
SH600820,2017-12-07
SH600827,2017-12-07
SH600837,2017-12-07
SH600871,2017-12-07
SH600875,2017-12-07
SH600886,2017-12-07
SH600887,2017-12-07
SH600893,2017-12-07
SH600895,2017-12-07
SH600900,2017-12-07
SH600909,2017-12-07
SH600919,2017-12-07
SH600926,2017-12-07
SH600958,2017-12-07
SH600959,2017-12-07
SH600977,2017-12-07
SH600999,2017-12-07
SH601006,2017-12-07
SH601009,2017-12-07
SH601018,2017-12-07
SH601021,2017-12-07
SH601088,2017-12-07
SH601099,2017-12-07
SH601111,2017-12-07
SH601117,2017-12-07
SH601118,2017-12-07
SH601155,2017-12-07
SH601163,2017-12-07
SH601166,2017-12-07
SH601169,2017-12-07
SH601186,2017-12-07
SH601198,2017-12-07
SH601211,2017-12-07
SH601225,2017-12-07
SH601229,2017-12-07
SH601288,2017-12-07
SH601318,2017-12-07
SH601328,2017-12-07
SH601333,2017-12-07
SH601336,2017-12-07
SH601375,2017-12-07
SH601377,2017-12-07
SH601390,2017-12-07
SH601398,2017-12-07
SH601555,2017-12-07
SH601601,2017-12-07
SH601607,2017-12-07
SH601618,2017-12-07
SH601628,2017-12-07
SH601633,2017-12-07
SH601668,2017-12-07
SH601669,2017-12-07
SH601688,2017-12-07
SH601699,2017-12-07
SH601718,2017-12-07
SH601727,2017-12-07
SH601766,2017-12-07
SH601788,2017-12-07
SH601800,2017-12-07
SH601818,2017-12-07
SH601857,2017-12-07
SH601866,2017-12-07
SH601877,2017-12-07
SH601881,2017-12-07
SH601888,2017-12-07
SH601899,2017-12-07
SH601901,2017-12-07
SH601919,2017-12-07
SH601939,2017-12-07
SH601958,2017-12-07
SH601985,2017-12-07
SH601988,2017-12-07
SH601997,2017-12-07
SH601998,2017-12-07
SH603160,2017-12-07
SH603858,2017-12-07
SH603993,2017-12-07
SZ000001,2017-12-07
SZ000002,2017-12-07
SZ000008,2017-12-07
SZ000060,2017-12-07
SZ000063,2017-12-07
SZ000069,2017-12-07
SZ000100,2017-12-07
SZ000157,2017-12-07
SZ000166,2017-12-07
SZ000333,2017-12-07
SZ000338,2017-12-07
SZ000402,2017-12-07
SZ000413,2017-12-07
SZ000415,2017-12-07
SZ000423,2017-12-07
SZ000425,2017-12-07
SZ000503,2017-12-07
SZ000538,2017-12-07
SZ000559,2017-12-07
SZ000568,2017-12-07
SZ000617,2017-12-07
SZ000623,2017-12-07
SZ000625,2017-12-07
SZ000627,2017-12-07
SZ000630,2017-12-07
SZ000651,2017-12-07
SZ000686,2017-12-07
SZ000709,2017-12-07
SZ000725,2017-12-07
SZ000728,2017-12-07
SZ000738,2017-12-07
SZ000750,2017-12-07
SZ000768,2017-12-07
SZ000776,2017-12-07
SZ000783,2017-12-07
SZ000792,2017-12-07
SZ000826,2017-12-07
SZ000839,2017-12-07
SZ000858,2017-12-07
SZ000876,2017-12-07
SZ000895,2017-12-07
SZ000938,2017-12-07
SZ000959,2017-12-07
SZ000961,2017-12-07
SZ000963,2017-12-07
SZ000983,2017-12-07
SZ000999,2017-12-07
SZ001979,2017-12-07
SZ002007,2017-12-07
SZ002024,2017-12-07
SZ002027,2017-12-07
SZ002044,2017-12-07
SZ002065,2017-12-07
SZ002074,2017-12-07
SZ002081,2017-12-07
SZ002142,2017-12-07
SZ002146,2017-12-07
SZ002153,2017-12-07
SZ002174,2017-12-07
SZ002202,2017-12-07
SZ002230,2017-12-07
SZ002236,2017-12-07
SZ002241,2017-12-07
SZ002252,2017-12-07
SZ002292,2017-12-07
SZ002304,2017-12-07
SZ002310,2017-12-07
SZ002352,2017-12-07
SZ002385,2017-12-07
SZ002415,2017-12-07
SZ002424,2017-12-07
SZ002426,2017-12-07
SZ002456,2017-12-07
SZ002465,2017-12-07
SZ002475,2017-12-07
SZ002500,2017-12-07
SZ002508,2017-12-07
SZ002555,2017-12-07
SZ002558,2017-12-07
SZ002594,2017-12-07
SZ002603,2017-12-07
SZ002673,2017-12-07
SZ002714,2017-12-07
SZ002736,2017-12-07
