code,dt
SH600000,2018-05-15
SH600008,2018-05-15
SH600009,2018-05-15
SH600011,2018-05-15
SH600015,2018-05-15
SH600016,2018-05-15
SH600018,2018-05-15
SH600019,2018-05-15
SH600021,2018-05-15
SH600023,2018-05-15
SH600028,2018-05-15
SH600029,2018-05-15
SH600030,2018-05-15
SH600031,2018-05-15
SH600036,2018-05-15
SH600038,2018-05-15
SH600048,2018-05-15
SH600050,2018-05-15
SH600061,2018-05-15
SH600066,2018-05-15
SH600085,2018-05-15
SH600089,2018-05-15
SH600100,2018-05-15
SH600104,2018-05-15
SH600109,2018-05-15
SH600111,2018-05-15
SH600115,2018-05-15
SH600118,2018-05-15
SH600153,2018-05-15
SH600157,2018-05-15
SH600170,2018-05-15
SH600177,2018-05-15
SH600188,2018-05-15
SH600196,2018-05-15
SH600208,2018-05-15
SH600219,2018-05-15
SH600233,2018-05-15
SH600271,2018-05-15
SH600276,2018-05-15
SH600297,2018-05-15
SH600332,2018-05-15
SH600340,2018-05-15
SH600352,2018-05-15
SH600362,2018-05-15
SH600369,2018-05-15
SH600372,2018-05-15
SH600373,2018-05-15
SH600376,2018-05-15
SH600390,2018-05-15
SH600406,2018-05-15
SH600415,2018-05-15
SH600436,2018-05-15
SH600482,2018-05-15
SH600489,2018-05-15
SH600498,2018-05-15
SH600518,2018-05-15
SH600519,2018-05-15
SH600522,2018-05-15
SH600535,2018-05-15
SH600547,2018-05-15
SH600549,2018-05-15
SH600570,2018-05-15
SH600583,2018-05-15
SH600585,2018-05-15
SH600588,2018-05-15
SH600606,2018-05-15
SH600637,2018-05-15
SH600649,2018-05-15
SH600660,2018-05-15
SH600663,2018-05-15
SH600674,2018-05-15
SH600685,2018-05-15
SH600688,2018-05-15
SH600690,2018-05-15
SH600703,2018-05-15
SH600704,2018-05-15
SH600705,2018-05-15
SH600732,2018-05-15
SH600739,2018-05-15
SH600741,2018-05-15
SH600754,2018-05-15
SH600795,2018-05-15
SH600804,2018-05-15
SH600816,2018-05-15
SH600820,2018-05-15
SH600827,2018-05-15
SH600837,2018-05-15
SH600871,2018-05-15
SH600875,2018-05-15
SH600886,2018-05-15
SH600887,2018-05-15
SH600893,2018-05-15
SH600895,2018-05-15
SH600900,2018-05-15
SH600909,2018-05-15
SH600919,2018-05-15
SH600926,2018-05-15
SH600958,2018-05-15
SH600977,2018-05-15
SH600999,2018-05-15
SH601006,2018-05-15
SH601009,2018-05-15
SH601018,2018-05-15
SH601021,2018-05-15
SH601088,2018-05-15
SH601099,2018-05-15
SH601111,2018-05-15
SH601117,2018-05-15
SH601155,2018-05-15
SH601163,2018-05-15
SH601166,2018-05-15
SH601169,2018-05-15
SH601186,2018-05-15
SH601198,2018-05-15
SH601211,2018-05-15
SH601225,2018-05-15
SH601228,2018-05-15
SH601229,2018-05-15
SH601288,2018-05-15
SH601318,2018-05-15
SH601328,2018-05-15
SH601333,2018-05-15
SH601336,2018-05-15
SH601375,2018-05-15
SH601377,2018-05-15
SH601398,2018-05-15
SH601555,2018-05-15
SH601600,2018-05-15
SH601601,2018-05-15
SH601607,2018-05-15
SH601608,2018-05-15
SH601611,2018-05-15
SH601618,2018-05-15
SH601628,2018-05-15
SH601633,2018-05-15
SH601668,2018-05-15
SH601669,2018-05-15
SH601688,2018-05-15
SH601699,2018-05-15
SH601718,2018-05-15
SH601727,2018-05-15
SH601766,2018-05-15
SH601788,2018-05-15
SH601800,2018-05-15
SH601818,2018-05-15
SH601857,2018-05-15
SH601866,2018-05-15
SH601872,2018-05-15
SH601878,2018-05-15
SH601881,2018-05-15
SH601888,2018-05-15
SH601898,2018-05-15
SH601899,2018-05-15
SH601901,2018-05-15
SH601919,2018-05-15
SH601933,2018-05-15
SH601939,2018-05-15
SH601958,2018-05-15
SH601966,2018-05-15
SH601985,2018-05-15
SH601988,2018-05-15
SH601989,2018-05-15
SH601991,2018-05-15
SH601992,2018-05-15
SH601997,2018-05-15
SH601998,2018-05-15
SH603799,2018-05-15
SH603833,2018-05-15
SH603858,2018-05-15
SH603993,2018-05-15
SZ000001,2018-05-15
SZ000002,2018-05-15
SZ000060,2018-05-15
SZ000069,2018-05-15
SZ000100,2018-05-15
SZ000157,2018-05-15
SZ000166,2018-05-15
SZ000333,2018-05-15
SZ000338,2018-05-15
SZ000402,2018-05-15
SZ000413,2018-05-15
SZ000423,2018-05-15
SZ000425,2018-05-15
SZ000503,2018-05-15
SZ000538,2018-05-15
SZ000559,2018-05-15
SZ000568,2018-05-15
SZ000617,2018-05-15
SZ000623,2018-05-15
SZ000625,2018-05-15
SZ000627,2018-05-15
SZ000630,2018-05-15
SZ000651,2018-05-15
SZ000686,2018-05-15
SZ000709,2018-05-15
SZ000725,2018-05-15
SZ000728,2018-05-15
SZ000738,2018-05-15
SZ000750,2018-05-15
SZ000768,2018-05-15
SZ000776,2018-05-15
SZ000783,2018-05-15
SZ000792,2018-05-15
SZ000839,2018-05-15
SZ000858,2018-05-15
SZ000876,2018-05-15
SZ000895,2018-05-15
SZ000898,2018-05-15
SZ000938,2018-05-15
SZ000959,2018-05-15
SZ000961,2018-05-15
SZ000963,2018-05-15
SZ000983,2018-05-15
SZ000999,2018-05-15
SZ001979,2018-05-15
SZ002007,2018-05-15
SZ002024,2018-05-15
SZ002027,2018-05-15
SZ002044,2018-05-15
SZ002074,2018-05-15
SZ002081,2018-05-15
SZ002142,2018-05-15
SZ002146,2018-05-15
SZ002153,2018-05-15
SZ002174,2018-05-15
SZ002202,2018-05-15
SZ002230,2018-05-15
SZ002236,2018-05-15
SZ002241,2018-05-15
SZ002292,2018-05-15
SZ002294,2018-05-15
SZ002304,2018-05-15
SZ002352,2018-05-15
SZ002385,2018-05-15
SZ002415,2018-05-15
SZ002424,2018-05-15
SZ002426,2018-05-15
SZ002456,2018-05-15
SZ002460,2018-05-15
SZ002465,2018-05-15
SZ002468,2018-05-15
SZ002470,2018-05-15
SZ002475,2018-05-15
SZ002500,2018-05-15
SZ002508,2018-05-15
SZ002555,2018-05-15
SZ002558,2018-05-15
SZ002572,2018-05-15
SZ002594,2018-05-15
SZ002603,2018-05-15
SZ002608,2018-05-15
SZ002673,2018-05-15
SZ002714,2018-05-15
SZ002736,2018-05-15
SZ002797,2018-05-15
SZ002831,2018-05-15
SZ002839,2018-05-15
SZ002841,2018-05-15
SZ300003,2018-05-15
SZ300015,2018-05-15
SZ300017,2018-05-15
SZ300024,2018-05-15
SZ300027,2018-05-15
SZ300033,2018-05-15
SZ300059,2018-05-15
SZ300070,2018-05-15
SZ300122,2018-05-15
SZ300124,2018-05-15
SZ300136,2018-05-15
SZ300144,2018-05-15
SZ300251,2018-05-15
SZ300308,2018-05-15
SZ300315,2018-05-15
