code,dt
SH600000,2017-12-05
SH600009,2017-12-05
SH600010,2017-12-05
SH600015,2017-12-05
SH600016,2017-12-05
SH600018,2017-12-05
SH600019,2017-12-05
SH600021,2017-12-05
SH600023,2017-12-05
SH600028,2017-12-05
SH600029,2017-12-05
SH600030,2017-12-05
SH600031,2017-12-05
SH600036,2017-12-05
SH600038,2017-12-05
SH600048,2017-12-05
SH600050,2017-12-05
SH600061,2017-12-05
SH600066,2017-12-05
SH600085,2017-12-05
SH600089,2017-12-05
SH600100,2017-12-05
SH600104,2017-12-05
SH600109,2017-12-05
SH600111,2017-12-05
SH600115,2017-12-05
SH600118,2017-12-05
SH600153,2017-12-05
SH600170,2017-12-05
SH600177,2017-12-05
SH600188,2017-12-05
SH600196,2017-12-05
SH600208,2017-12-05
SH600221,2017-12-05
SH600233,2017-12-05
SH600271,2017-12-05
SH600276,2017-12-05
SH600297,2017-12-05
SH600340,2017-12-05
SH600352,2017-12-05
SH600362,2017-12-05
SH600369,2017-12-05
SH600372,2017-12-05
SH600373,2017-12-05
SH600376,2017-12-05
SH600406,2017-12-05
SH600415,2017-12-05
SH600436,2017-12-05
SH600482,2017-12-05
SH600489,2017-12-05
SH600498,2017-12-05
SH600515,2017-12-05
SH600518,2017-12-05
SH600519,2017-12-05
SH600522,2017-12-05
SH600535,2017-12-05
SH600547,2017-12-05
SH600549,2017-12-05
SH600570,2017-12-05
SH600583,2017-12-05
SH600585,2017-12-05
SH600588,2017-12-05
SH600606,2017-12-05
SH600637,2017-12-05
SH600649,2017-12-05
SH600660,2017-12-05
SH600663,2017-12-05
SH600674,2017-12-05
SH600688,2017-12-05
SH600690,2017-12-05
SH600703,2017-12-05
SH600704,2017-12-05
SH600705,2017-12-05
SH600732,2017-12-05
SH600739,2017-12-05
SH600741,2017-12-05
SH600754,2017-12-05
SH600795,2017-12-05
SH600804,2017-12-05
SH600816,2017-12-05
SH600820,2017-12-05
SH600827,2017-12-05
SH600837,2017-12-05
SH600871,2017-12-05
SH600875,2017-12-05
SH600886,2017-12-05
SH600887,2017-12-05
SH600893,2017-12-05
SH600895,2017-12-05
SH600900,2017-12-05
SH600909,2017-12-05
SH600919,2017-12-05
SH600926,2017-12-05
SH600958,2017-12-05
SH600959,2017-12-05
SH600977,2017-12-05
SH600999,2017-12-05
SH601006,2017-12-05
SH601009,2017-12-05
SH601018,2017-12-05
SH601021,2017-12-05
SH601088,2017-12-05
SH601099,2017-12-05
SH601111,2017-12-05
SH601117,2017-12-05
SH601118,2017-12-05
SH601155,2017-12-05
SH601163,2017-12-05
SH601166,2017-12-05
SH601169,2017-12-05
SH601186,2017-12-05
SH601198,2017-12-05
SH601211,2017-12-05
SH601225,2017-12-05
SH601229,2017-12-05
SH601288,2017-12-05
SH601318,2017-12-05
SH601328,2017-12-05
SH601333,2017-12-05
SH601336,2017-12-05
SH601375,2017-12-05
SH601377,2017-12-05
